source_country,year,fdi_inflow_usd_million
China,2019,9181.17
China,2020,7257.10
China,2021,17172.02
China,2022,16588.47
China,2023,16551.01
China,2024,26122.17
China,2025,26243.68
Japan,2019,21985.15
Japan,2020,13068.00
Japan,2021,21899.70
Japan,2022,22221.42
Japan,2023,10221.03
Japan,2024,18702.66
Japan,2025,9557.86
United States,2019,48323.12
United States,2020,20889.07
United States,2021,32596.26
United States,2022,22121.16
United States,2023,83540.12
United States,2024,34152.08
United States,2025,30044.76
