region,year,fdi_inflow_usd_billion
World,2023,1288
World,2024,1403
World,2025,1606
Developed economies,2023,430
Developed economies,2024,509
Developed economies,2025,728
Developing economies,2023,859
Developing economies,2024,894
Developing economies,2025,877
Asia,2023,626
Asia,2024,630
Asia,2025,614
East Asia,2023,297
East Asia,2024,272
East Asia,2025,227
South-East Asia,2023,209
South-East Asia,2024,230
South-East Asia,2025,228
South Asia,2023,34
South Asia,2024,34
South Asia,2025,54
West Asia,2023,78
West Asia,2024,89
West Asia,2025,97
